"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Strider,Large,Elemental,,Unaligned,1,,,,,,,,,,,,,x,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,137,,,Young Gold Dragon,Large,Dragon,,Lawful Good,10,,,,,,,,,,,x,x,,,,,,,,Monster Manual,115,,,,,,,,,,,
Giant Strider,Large,Monstrosity,,Neutral Evil,1,,,,,,,,,,,,,,,,,,,,Tomb of Annihilation,222,,,Ancient Silver Dragon,Gargantuan,Dragon,,Lawful Good,23,,,x,x,,,,,,,,,,x,,,,x,,Monster Manual,116,,,,,,,,,,,
Giant Subterranean Lizard,Huge,Beast,,Unaligned,4,,,,,,,,,,,,,,,,ø,,,,Tales from the Yawning Portal,236,,,Adult Silver Dragon,Huge,Dragon,,Lawful Good,16,,,x,x,,,,,,,,,,x,,,,x,,Monster Manual,117,,,,,,,,,,,
Giant Tick,Medium,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,153,,,Silver Dragon Wyrmling,Medium,Dragon,,Lawful Good,2,,,,,,,,,,,,,,x,,,,x,,Monster Manual,118,,,,,,,,,,,
Giant Toad,Large,Beast,,Unaligned,1,,,,,,,,,x,x,x,,,,x,x,,,,Monster Manual,329,,,Young Silver Dragon,Large,Dragon,,Lawful Good,9,,,,,,,,,,,,,,x,,,,x,,Monster Manual,118,,,,,,,,,,,
Giant Vampire Bat,Large,Beast,,Unaligned,2,,,,,,,,,,,x,x,,x,,x,,,,Creature Codex,50,,,Dragon Turtle,Gargantuan,Dragon,,Neutral,17,,,,,,,,,x,,,,,,,,x,,,Monster Manual,119,,,,,,,,,,,
Giant Vulture,Large,Beast,,Neutral Evil,1,,,,,,,,,,x,,x,,,,,,,,Monster Manual,329,,,Drider,Large,Monstrosity,,Chaotic Evil,6,,x,,,,,,,,,,,,,,x,,,,Monster Manual,120,,,,,,,,,,,
Giant Walrus,Huge,Beast,,Unaligned,4,,,,,,,,ø,ø,,,,,,,,ø,,,Icewind Dale: Rime of the Frostmaiden,312,,,Dryad,Medium,Fey,,Neutral,1,,x,,,,,,,,,x,,,,,,,,,Monster Manual,121,,,,,,,,,,,
Giant Wasp,Medium,Beast,,Unaligned,1/2,,,,,,,,,,,x,x,,,,,,,,Monster Manual,329,,,Duergar,Medium,Humanoid,Dwarf,Lawful Neutral,1,,,,,,,,,,,,,,,,x,,,,Monster Manual,122,,,,,,,,,,,
Giant Water Beetle,Medium,Beast,Aquatic,Unaligned,1/2,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,25,,,Air Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,x,,,,x,,,,,,Monster Manual,124,"Infernal Machine Rebuild 60, Rise of Tiamat Online Supplement 6",,,,,,,,,,
Giant Water Scorpion,Large,Beast,,Unaligned,4,,,,,,,,,x,,,,,,x,,,,,Tome of Beasts 2,393,,,Earth Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,,,,,,,x,,,,Monster Manual,124,Rise of Tiamat Online Supplement 13,,,,,,,,,,
Giant Weasel,Medium,Beast,,Unaligned,1/8,,,,,,,,,,,x,x,x,,,,,,,Monster Manual,329,,,Fire Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,x,,,,,,,,,,Monster Manual,125,"Infernal Machine Rebuild 64, Rise of Tiamat Online Supplement 15",,,,,,,,,,
Giant Wolf Spider,Medium,Beast,Spider,Unaligned,1/4,,,,,,,,,x,x,x,x,x,,,,,,,Monster Manual,330,,,Water Elemental,Large,Elemental,,Neutral,5,,,,,,,,,x,,,,,,x,,x,,,Monster Manual,125,Rise of Tiamat Online Supplement 26,,,,,,,,,,
Giat Snapping Turtle,Large,Beast,,Unaligned,3,,,,,,,,,ø,,,,,,,,ø,,,Tomb of Annihilation,222,,,Drow,Medium,Humanoid,Elf,Neutral Evil,1/4,,x,,,,,,,,,,,,,,x,,,,Monster Manual,128,,,,,,,,,,,
Gibbering Mouther,Medium,Aberration,,Neutral,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,157,,,Drow Elite Warrior,Medium,Humanoid,Elf,Neutral Evil,5,,x,,,,,,,,,,,,,,x,,,,Monster Manual,128,,,,,,,,,,,
Gibberling,Small,Aberration,,Chaotic Neutral,1/4,,,,,,,,,ø,,ø,ø,ø,ø,ø,,,,ø,Minsc and Boo's Journal of Villainy,141,,,Drow Mage,Medium,Humanoid,Elf,Neutral Evil,7,,x,,,,,,,,,,,,,,x,,,,Monster Manual,129,,,,,,,,,,,
Gibberling,Small,Fiend,Demon,Chaotic Evil,0,,,,,,,,,,,,,,,,,,,,Quests from the Infinite Staircase,202,,,Drow Priestess of Lolth,Medium,Humanoid,Elf,Neutral Evil,8,,x,,,,,,,,,,,,,,x,,,,Monster Manual,129,,,,,,,,,,,
Giff,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,138,Mordenkainen's Tome of Foes 204,,Empyrean,Huge,Celestial,Titan,Chaotic Good,23,,x,x,,,,,,,,,,,,,,,,ø,Monster Manual,130,,,,,,,,,,,
Giff Shipmate,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,24,,,Ettercap,Medium,Monstrosity,,Neutral Evil,2,,,,,,,,,,,x,,,,,,,,,Monster Manual,131,Rise of Tiamat Online Supplement 14,,,,,,,,,,
Giff Shock Trooper,Medium,Humanoid,,Any,6,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,25,,,Ettin,Large,Giant,,Chaotic Evil,4,,,,,,,,,,,,,x,x,,,,,,Monster Manual,132,Rise of Tiamat Online Supplement 14,,,,,,,,,,
Giff Warlord,Medium,Humanoid,,Any,10,,,x,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,25,,,Adult Faerie Dragon,Tiny,Dragon,,Chaotic Good,2,,x,,,,,,,,,x,,,,,,,,,Monster Manual,133,,,,,,,,,,,
Gigant,Gargantuan,Monstrosity,,Unaligned,20,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,154,,,Young Faerie Dragon,Tiny,Dragon,,Chaotic Good,1,,x,,,,,,,,,x,,,,,,,,,Monster Manual,133,,,,,,,,,,,
Gilded Devil,Medium,Fiend,Devil,Lawful Neutral,7,,x,,,,,,,,,,,,,,,,,ø,Tome of Beasts,106,,,Flameskull,Tiny,Undead,,Neutral Evil,4,,x,,,,,,,,,,,,,,x,,,,Monster Manual,134,"Lost Mines of Phandelver 57, The Lost Dungeon of Rickedness: Big Rick Energy 37",,,,,,,,,,
Gill-man,Medium,Monstrosity,,Neutral,6,,,,,,,,,,,,,,,ø,,ø,,,Monster a Day Compendium 2.0,61,,,Flumph,Small,Aberration,,Lawful Good,1/8,,,,,,,,,,,,,,,,x,,,,Monster Manual,135,,,,,,,,,,,
Gillmonkey,Small,Beast,Aquatic,Chaotic Evil,1/4,,,,,,,,,x,,,,,,,,x,,,Fifth Edition Foes,121,,,Fomorian,Huge,Giant,,Chaotic Evil,8,,,,,,,,,,,,,,,,x,,,,Monster Manual,136,,,,,,,,,,,
Gingwatzim,Small,Aberration,Shapechanger,Not Provided,2,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,,ø,,Candlekeep Mysteries,27,,,Gas Spore,Large,Plant,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,138,,,,,,,,,,,
Ginormous Squirrel,Gargantuan,Beast,,Unaligned,16,,,x,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,62,,,Shrieker,Medium,Plant,,Unaligned,0,,,,,,,,,,,,,,,,x,,,,Monster Manual,138,,,,,,,,,,,
Girallon,Large,Monstrosity,,Unaligned,4,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,139,"Volo's Guide to Monsters 152, Tomb of Annihilation 222",,Violet Fungus,Medium,Plant,,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Monster Manual,138,,,,,,,,,,,
Girallon Zombie,Large,Undead,,Chaotic Evil,3,,,,,,,,,,,,,,,ø,ø,,,,Tomb of Annihilation,240,Infernal Machine Rebuild 66,,Galeb Duhr,Medium,Elemental,,Neutral,6,,,,,,,,,,,,,x,x,,,,,,Monster Manual,139,,,,,,,,,,,
"Gishath, Sun's Avatar",Gargantuan,Beast,,Unaligned,10,,,x,,x,,,,ø,,ø,,,,,,,,,Planeshift: Ixalan,32,,,Gargoyle,Medium,Elemental,,Chaotic Evil,2,,,,,,,,,,,,,,,,x,,x,,Monster Manual,140,,,,,,,,,,,
Githyanki Anarch,Medium,Humanoid,Gith,Lawful Neutral,16,,x,x,x,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,207,,,Dao,Large,Elemental,,Neutral Evil,11,,x,,,,,,,,,,,,,,x,,,,Monster Manual,143,Rise of Tiamat Online Supplement 12,,,,,,,,,,
Githyanki Buccaneer,Medium,Humanoid,Gith,Any,3,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,27,,,Djinni,Large,Elemental,,Chaotic Good,11,,x,,,,,,,x,,,,,,,,,,,Monster Manual,144,,,,,,,,,,,
Githyanki Enlightened,Medium,Humanoid,Gith,Lawful Neutral,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,208,,,Efreeti,Large,Elemental,,Lawful Neutral,11,,x,,,,,,,,x,,,,,,,,,,Monster Manual,145,Rise of Tiamat Online Supplement 13,,,,,,,,,,
Githyanki Gish,Medium,Humanoid,"gith, wizard",Any,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,140,,,Marid,Large,Elemental,,Chaotic Neutral,11,,x,,,,,,,x,,,,,,,,x,,,Monster Manual,146,,,,,,,,,,,
Githyanki Gish,Medium,Humanoid,Gith,Lawful Neutral,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,205,Waterdeep: Dungeon of the Mad Mage 312,,Ghost,Medium,Undead,,Any,4,,,,,,,,,,,,,,,,x,,x,,Monster Manual,147,Rise of Tiamat Online Supplement 15,,,,,,,,,,
Githyanki Kith'rak,Medium,Humanoid,gith,Any,12,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,140,,,Ghast,Medium,Undead,Ghoul,Chaotic Evil,2,,,,,,,,,,,,,,,x,x,,x,,Monster Manual,148,,,,,,,,,,,
Githyanki Kith'rak,Medium,Humanoid,Gith,Lawful Neutral,12,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,205,,,Ghoul,Medium,Undead,Ghoul,Chaotic Evil,1,,,,,,,,,,,,,,,x,x,,x,,Monster Manual,148,"Lost Mines of Phandelver 58, The Lost Dungeon of Rickedness: Big Rick Energy 38",,,,,,,,,,
Githyanki Knight,Medium,Humanoid,Gith,Lawful Neutral,8,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,160,,,Cloud Giant,Huge,Giant,Cloud Giant,Neutral Good,9,,x,,,,,,,,,,,,x,,,,,,Monster Manual,154,,,,,,,,,,,
Githyanki Star Seer,Medium,Humanoid,"Gith, Warlock",Any,7,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,27,,,Fire Giant,Huge,Giant,Fire Giant,Lawful Neutral,9,,,,,,,,,,,,,,x,,x,,,,Monster Manual,154,,,,,,,,,,,
Githyanki Supreme Commander,Medium,Humanoid,gith,Any,14,,x,x,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,141,,,Frost Giant,Huge,Giant,Frost Giant,Neutral Evil,8,,,,,,,,x,,,,,,x,,,,,,Monster Manual,155,,,,,,,,,,,
Githyanki Supreme Commander,Medium,Humanoid,Gith,Lawful Neutral,14,,x,x,,,,,,,x,,,,x,,,,x,,Mordenkainen's Tome of Foes,206,,,Hill Giant,Huge,Giant,,Chaotic Evil,5,,,,,,,,,,,,,x,,,,,,,Monster Manual,155,,,,,,,,,,,
Githyanki Warrior,Medium,Humanoid,Gith,Lawful Neutral,3,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,160,,,Stone Giant,Huge,Giant,Stone Giant,Neutral,7,,,,,,,,,,,,,x,x,,x,,,,Monster Manual,156,,,,,,,,,,,
Githyanki Xenomancer,Medium,Humanoid,"Gith, Druid",Any,9,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,27,,,Storm Giant,Huge,Giant,Storm Giant,Chaotic Good,13,,x,,,,,,,x,,,,,ø,,,x,,,Monster Manual,156,,,,,,,,,,,
Githzerai Anarch,Medium,Humanoid,gith,Any,16,,x,x,x,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,142,,,Gibbering Mouther,Medium,Aberration,,Neutral,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,157,,,,,,,,,,,
Githzerai Enlightened,Medium,Humanoid,gith,Any,10,,x,,,,,,,,x,,,,x,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,143,,,Githyanki Knight,Medium,Humanoid,Gith,Lawful Neutral,8,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,160,,,,,,,,,,,
Githzerai Futurist,Medium,Aberration,Gith,Any,9,,x,,,,,,,,,,,,,,,,,x,Morte's Planar Parade,30,,,Githyanki Warrior,Medium,Humanoid,Gith,Lawful Neutral,3,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,160,,,,,,,,,,,
Githzerai Monk,Medium,Humanoid,Gith,Lawful Neutral,2,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,161,,,Githzerai Monk,Medium,Humanoid,Gith,Lawful Neutral,2,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,161,,,,,,,,,,,
Githzerai Traveler,Medium,Aberration,Gith,Any,3,,x,,,,,,,,,,,,,,,,,x,Morte's Planar Parade,31,,,Githzerai Zerth,Medium,Humanoid,Gith,Lawful Neutral,6,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,161,,,,,,,,,,,
Githzerai Uniter,Medium,Aberration,Gith,Any,7,,x,,,,,,,,,,,,,,,,,x,Morte's Planar Parade,31,,,Gnoll,Medium,Humanoid,Gnoll,Chaotic Evil,1/2,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,,,,,,,,,
Githzerai Zerth,Medium,Humanoid,Gith,Lawful Neutral,6,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,161,,,Gnoll Fang of Yeenoghu,Medium,Fiend,Gnoll,Chaotic Evil,4,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,,,,,,,,,
Glabrezu,Large,Fiend,Demon,Chaotic Evil,9,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,58,,,Gnoll Pack Lord,Medium,Humanoid,Gnoll,Chaotic Evil,2,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,,,,,,,,,
Glacial Corruptor,Medium,Undead,,Lawful Evil,1,,,,,,,,x,,,,,,x,,,,,,Tome of Beasts 2,176,,,Svirfneblin,Small,Humanoid,Deep Gnome,Neutral Good,1/2,,x,,,,,,,,,,,,,,x,,,,Monster Manual,164,,,,,,,,,,,
Glacial Ooze,Large,Ooze,,Unaligned,1,,,,,,,,x,,,,,,x,,,,,,Fifth Edition Foes,178,,,Goblin,Small,Humanoid,Goblinoid,Neutral Evil,1/4,,,,,,,,,,,x,x,x,,,x,,,,Monster Manual,166,"Lost Mines of Phandelver 58, The Lost Dungeon of Rickedness: Big Rick Energy 39",,,,,,,,,,
Glacier Behemoth,Huge,Beast,,Unaligned,12,,,,,,,,x,,,,,,,,,,,,Tome of Beasts 2,177,,,Goblin Boss,Small,Humanoid,Goblinoid,Neutral Evil,1,,,,,,,,,,,x,x,x,,,x,,,,Monster Manual,166,,,,,,,,,,,
Gladeborn Hunter,Medium,Humanoid,Any Race,Neutral,5,,,,,,,,,,,ø,ø,,,,,,ø,,Monster a Day Compendium 2.0,63,,,Clay Golem,Large,Construct,,Unaligned,9,,,,,,,,ø,,ø,ø,ø,ø,ø,ø,ø,,ø,ø,Monster Manual,168,Rise of Tiamat Online Supplement 10,,,,,,,,,,
Gladeborn Trapper,Medium,Humanoid,Any Race,Neutral,3,,,,,,,,,,,ø,ø,,,,,,ø,,Monster a Day Compendium 2.0,63,,,Flesh Golem,Medium,Construct,,Neutral,5,,,,,,,,,ø,,ø,ø,ø,,ø,ø,,ø,ø,Monster Manual,169,,,,,,,,,,,
Gladiator,Medium,Humanoid,Any Race,Any,5,,,,,,,,,,,,,,,,,,x,,Monster Manual,346,Rise of Tiamat Online Supplement 16,,Iron Golem,Large,Construct,,Unaligned,16,,,,,,,,ø,ø,ø,ø,ø,ø,ø,,ø,ø,ø,ø,Monster Manual,170,,,,,,,,,,,
Glaive,Medium,Construct,Warforged,Chaotic Evil,11,,,,,x,,,,,,,,,,,,,,,Vecna: Eve of Ruin,81,,,Stone Golem,Large,Construct,,Unaligned,10,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,Monster Manual,170,Infernal Machine Rebuild 84,,,,,,,,,,
Glass Gator,Large,Beast,,Unaligned,1,,,,,,,,,ø,,,,,,ø,ø,ø,,,Tome of Beasts,228,,,Gorgon,Large,Monstrosity,,Unaligned,5,,,,,,,,,,,x,x,x,,,,,,,Monster Manual,171,Rise of Tiamat Online Supplement 17,,,,,,,,,,
Glass Golem,Small,Construct,,Unaligned,2,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,200,,,Grell,Medium,Aberration,,Neutral Evil,3,,,,,,,,,,,,,,,,x,,,,Monster Manual,172,Infernal Machine Rebuild 68,,,,,,,,,,
Glasswork Golem,Medium,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,193,,,Grick,Medium,Monstrosity,,Neutral,2,,,,,,,,,,,x,,,,,x,,,,Monster Manual,173,Lost Mines of Phandelver 58,,,,,,,,,,
Gloamwing,Large,Undead,,Neutral Evil,8,,,,,,,,,,,,,,,,,,ø,ø,Guildmaster's Guide to Ravnica,215,,,Grick Alpha,Large,Monstrosity,,Neutral,7,,,,,,,,,,,x,,,,,x,,,,Monster Manual,173,,,,,,,,,,,
Gloom Crawler,Huge,Monstrosity,,Neutral,10,,,,,,,,,,,x,x,x,,,x,,,,Fifth Edition Foes,122,,,Griffon,Large,Monstrosity,,Unaligned,2,,,,,,,,x,x,,,x,x,x,,,,,,Monster Manual,174,,,,,,,,,,,
Gloom Flower,Tiny,Plant,,Unaligned,3,,,,,,,,,,,,,,,,,,,x,Creature Codex,188,,,Grimlock,Medium,Humanoid,Grimlock,Neutral Evil,1/4,,,,,,,,,,,,,,,,x,,,,Monster Manual,175,,,,,,,,,,,
Gloom Weaver,Medium,Humanoid,"Elf, Shadar-Kai",Neutral,9,,x,,,,,,,,,,,,,,x,,x,,Mordenkainen's Tome of Foes,224,,,Green Hag,Medium,Fey,Hag,Neutral Evil,3,,x,,,,,,,,,x,,x,,x,,,,,Monster Manual,177,Infernal Machine Rebuild 67,,,,,,,,,,
Gloomstalker,Large,Monstrosity,,Neutral Evil,6,,,,,,,,,,,,,,,,ø,,,x,Explorer's Guide to Wildemount,291,,,Night Hag,Medium,Fiend,,Neutral Evil,5,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,178,,,,,,,,,,,
Glory,Large,Fiend,,Neutral Evil,15,,,,,x,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,127,,,Sea Hag,Medium,Fey,Hag,Chaotic Evil,2,,x,,,,,,,x,,,,,,,,x,,,Monster Manual,179,,,,,,,,,,,
Gnarljak,Small,Construct,,Unaligned,6,,,,,,,,,,,,,,,,,,,,Tome of Beasts,229,,,Half-Red Dragon Veteran,Medium,Humanoid,Human,Any,5,,,,,,,x,,,,,,,,,,,ø,,Monster Manual,180,"Infernal Machine Rebuild 68, Rise of Tiamat Online Supplement 17",,,,,,,,,,
Gnarlwood,Huge,Plant,,Neutral Evil,8,,x,,,,,,,,,x,,,,,,,,,Fifth Edition Foes,123,,,Harpy,Medium,Monstrosity,,Chaotic Evil,1,,,,,,,,,x,,x,,x,x,,,,,,Monster Manual,181,,,,,,,,,,,
Gnoll,Medium,Humanoid,Gnoll,Chaotic Evil,1/2,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,Hell Hound,Medium,Fiend,,Lawful Neutral,3,,,,,,,,,,,,,,x,,x,,,,Monster Manual,182,Infernal Machine Rebuild 69,,,,,,,,,,
Gnoll Deathknight,Medium,Humanoid,Gnoll,Chaotic Evil,6,,,,,,,,,,ø,ø,ø,ø,,,,,,,Monster a Day Compendium 2.0,64,,,Helmed Horror,Medium,Construct,,Neutral,4,,,,,,,,,,,,,,,,,,ø,,Monster Manual,183,Rise of Tiamat Online Supplement 18,,,,,,,,,,
Gnoll Deathmage,Medium,Humanoid,Gnoll,Chaotic Evil,7,,x,,,,,,,,ø,ø,ø,ø,,,,,,,Monster a Day Compendium 2.0,65,,,Hippogriff,Large,Monstrosity,,Unaligned,1,,,,,,,,,,,,x,x,x,,,,,,Monster Manual,184,,,,,,,,,,,
Gnoll Fang of Yeenoghu,Medium,Fiend,Gnoll,Chaotic Evil,4,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,Hobgoblin,Medium,Humanoid,Goblinoid,Lawful Neutral,1/2,,,,,,,,,,x,x,x,x,,,x,,,,Monster Manual,186,"Lost Mines of Phandelver 59, The Lost Dungeon of Rickedness: Big Rick Energy 39",,,,,,,,,,
Gnoll Flesh Gnawer,Medium,Monstrosity,,Chaotic Evil,1,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,144,,,Hobgoblin Captain,Medium,Humanoid,Goblinoid,Lawful Neutral,3,,,,,,,,,,x,x,x,x,,,x,,,,Monster Manual,186,,,,,,,,,,,
Gnoll Flesh Gnawer,Medium,Humanoid,Gnoll,Chaotic Evil,1,,,,,,,,x,,,x,x,x,,,,,,,Volo's Guide to Monsters,154,,,Hobgoblin Warlord,Medium,Humanoid,Goblinoid,Lawful Neutral,6,,,,,,,,,,x,x,x,x,,,x,,,,Monster Manual,187,,,,,,,,,,,
Gnoll Havoc Runner,Medium,Humanoid,Gnoll,Chaotic Evil,3,,,,,,,,,,ø,ø,ø,ø,,,,,,,Tome of Beasts,230,,,Homunculus,Tiny,Construct,,Neutral,0,,,,,,,,,,,,,,,,,,ø,,Monster Manual,188,Infernal Machine Rebuild 69,,,,,,,,,,
Gnoll Hunter,Medium,Monstrosity,,Chaotic Evil,1/2,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,144,,,Hook Horror,Large,Monstrosity,,Neutral,3,,,,,,,,,,,,,,,,x,,,,Monster Manual,189,,,,,,,,,,,
Gnoll Hunter,Medium,Humanoid,Gnoll,Chaotic Evil,1/2,,,,,,,,x,,,x,x,x,,,,,,,Volo's Guide to Monsters,154,,,Hydra,Huge,Monstrosity,,Unaligned,8,,,,,,,,,,,,,,,x,,,,,Monster Manual,190,,,,,,,,,,,
Gnoll Pack Lord,Medium,Humanoid,Gnoll,Chaotic Evil,2,,,,,,,,,,x,x,x,x,,,,,,,Monster Manual,163,,,Intellect Devourer,Tiny,Aberration,,Lawful Neutral,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,191,,,,,,,,,,,
Gnoll Slaver,Medium,Humanoid,Gnoll,Chaotic Evil,3,,,,,,,,,,,,x,,,,,,x,,Creature Codex,189,,,Invisible Stalker,Medium,Elemental,,Neutral,6,,,,,,,,,,,,,,,,,,x,,Monster Manual,192,,,,,,,,,,,
Gnoll Vampire,Medium,Undead,Shapechanger,Chaotic Evil,8,,,,,,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,290,,,Jackalwere,Medium,Humanoid,Shapechanger,Chaotic Evil,1/2,,,,,,,,,,x,,x,,,,,,,,Monster Manual,193,,,,,,,,,,,
Gnoll Witherling,Medium,Undead,,Chaotic Evil,1/4,,,,,,,,x,,,x,x,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,145,,,Kenku,Medium,Humanoid,Kenku,Chaotic Neutral,1/4,,,,,,,,,,,x,,,,,,,x,,Monster Manual,194,,,,,,,,,,,
Gnoll Witherling,Medium,Undead,Gnoll,Chaotic Evil,1/4,,,,,,,,x,,,x,x,x,,x,x,,x,,Volo's Guide to Monsters,155,,,Kobold,Small,Humanoid,Kobold,Lawful Neutral,1/8,,,,,,,,x,x,x,,,x,x,x,x,,x,,Monster Manual,195,Rise of Tiamat Online Supplement 19,,,,,,,,,,
Gnome Ceremorph,Small,Aberration,,Any,5,,x,,,,,,,,,,,,,,,,,ø,Icewind Dale: Rime of the Frostmaiden,303,,,Winged Kobold,Small,Humanoid,Kobold,Lawful Neutral,1/4,,,,,,,,x,x,x,x,,x,x,x,x,,x,,Monster Manual,195,,,,,,,,,,,
Gnome Squidling,Small,Aberration,,Unaligned,1/2,,x,,,,,,,,,,,,,,,,,ø,Icewind Dale: Rime of the Frostmaiden,303,,,Kraken,Gargantuan,Monstrosity,Titan,Chaotic Evil,23,,,x,x,,,,,,,,,,,,,x,,,Monster Manual,197,,,,,,,,,,,
Gnomish Knife Cultist,Small,Humanoid,Gnome,Chaotic Evil,5,,x,,,,,,,,,,x,,,,,,x,,Creature Codex,402,,,Kuo-toa,Medium,Humanoid,Kuo-Toa,Neutral Evil,1/4,,,,,,,,,,,,,,,,x,,,,Monster Manual,199,,,,,,,,,,,
Gnoph-Keh,Large,Monstrosity,,Neutral Evil,11,,,,,,,,x,,,,,,,,,,,,Sandy Petersen's Cthulhu Mythos,329,,,Kuo-toa Archpriest,Medium,Humanoid,Kuo-Toa,Neutral Evil,6,,x,,,,,,,,,,,,,,x,,,,Monster Manual,200,,,,,,,,,,,
Gnorri Hunter,Large,Monstrosity,,Neutral,1/2,,,,,,,,,x,,,,,,,,x,,,Sandy Petersen's Cthulhu Mythos,330,,,Kuo-toa Whip,Medium,Humanoid,Kuo-Toa,Neutral Evil,1,,x,,,,,,,,,,,,,,x,,,,Monster Manual,200,,,,,,,,,,,
Goat,Medium,Beast,,Unaligned,0,,,,,,,,,,,,x,x,x,,,,x,,Monster Manual,330,,,Lamia,Large,Monstrosity,,Chaotic Evil,4,,x,,,,,,,,x,,,,,,,,,,Monster Manual,201,,,,,,,,,,,
Goat-Knight Steed,Large,Celestial,,Unaligned,1/2,,,,,,,,,,,,,,ø,,,,,,Tal'Dorei Campaign Setting,135,,,Lich,Medium,Undead,,Any Evil,21,,x,x,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,Monster Manual,202,,,,,,,,,,,
Goat-Man,Medium,Monstrosity,,Chaotic Evil,3,,,,,,,,,,,,ø,ø,ø,,,,ø,,Tome of Beasts,231,,,Lich (in lair),Medium,Undead,,Any Evil,22,,x,x,x,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,,Monster Manual,202,,,,,,,,,,,
